id,title,price,datetime
1,"Hyundai Solaris 1.4 AT, 2015, 113 000 км",950 000 ₽,2025-05-12 19:51:22.203226
2,"Hyundai Solaris 1.4 AT, 2015, 113 000 км",950 000 ₽,2025-05-12 19:53:31.519406
3,"Hyundai Solaris 1.4 AT, 2015, 113 000 км",950 000 ₽,2025-05-12 19:57:45.540529
4,"Hyundai Solaris 1.6 AT, 2020, 108 000 км",1 449 000 ₽,2025-05-12 19:57:45.572880
5,"Hyundai Solaris 1.4 AT, 2013, 164 309 км",698 000 ₽,2025-05-12 19:57:45.602393
6,"Hyundai Solaris 1.6 AT, 2024, 14 000 км",2 100 000 ₽,2025-05-12 19:57:45.631877
7,"Hyundai Solaris 1.6 AT, 2021, 70 177 км",1 550 000 ₽,2025-05-12 19:57:45.662391
8,"Hyundai Solaris 1.6 AT, 2012, 177 000 км",699 000 ₽,2025-05-12 19:57:45.692079
9,"Hyundai Solaris 1.6 AT, 2018, 499 000 км",890 000 ₽,2025-05-12 19:57:45.723716
10,"Hyundai Solaris 1.6 AT, 2016, 166 900 км",1 090 000 ₽,2025-05-12 19:57:45.753031
11,"Hyundai Solaris 1.6 AT, 2017, 172 250 км",1 034 000 ₽,2025-05-12 19:57:45.784031
12,"Hyundai Solaris 1.6 AT, 2016, 116 552 км",1 150 000 ₽,2025-05-12 19:57:45.823031
13,"Hyundai Solaris 1.6 AT, 2016, 191 000 км",900 000 ₽,2025-05-12 19:57:45.880274
14,"Hyundai Solaris 1.6 MT, 2016, 83 205 км",965 000 ₽,2025-05-12 19:57:45.916909
15,"Hyundai Solaris 1.6 AT, 2019, 94 430 км",1 550 000 ₽,2025-05-12 19:57:45.946512
16,"Hyundai Solaris 1.6 AT, 2021, 89 000 км",1 099 000 ₽,2025-05-12 19:57:45.977452
17,"Hyundai Solaris 1.6 AT, 2021, 51 000 км",1 700 000 ₽,2025-05-12 19:57:46.007613
18,"Hyundai Solaris 1.6 AT, 2016, 79 000 км",1 049 000 ₽,2025-05-12 19:57:46.040559
19,"Hyundai Solaris 1.6 AT, 2018, 361 120 км",895 000 ₽,2025-05-12 19:57:46.072197
20,"Hyundai Solaris 1.4 MT, 2014, 235 000 км",659 000 ₽,2025-05-12 19:57:46.103657
21,"Hyundai Solaris 1.6 AT, 2021, 136 152 км",1 285 000 ₽,2025-05-12 19:57:46.135209
22,"Hyundai Solaris 1.6 AT, 2017, 146 130 км",1 189 000 ₽,2025-05-12 19:57:46.167881
23,"Hyundai Solaris 1.4 AT, 2012, 240 000 км",650 000 ₽,2025-05-12 19:57:46.201859
24,"Hyundai Solaris 1.4 AT, 2017, 161 800 км",776 000 ₽,2025-05-12 19:57:46.231427
25,"Hyundai Solaris 1.4 MT, 2012, 162 500 км",635 000 ₽,2025-05-12 19:57:46.261012
26,"Hyundai Solaris 1.6 AT, 2020, 81 171 км",1 590 000 ₽,2025-05-12 19:57:46.290980
27,"Hyundai Solaris 1.6 AT, 2015, 152 000 км",1 200 000 ₽,2025-05-12 19:57:46.322802
28,"Hyundai Solaris 1.6 AT, 2018, 45 142 км",1 317 000 ₽,2025-05-12 19:57:46.353373
29,"Hyundai Solaris 1.6 AT, 2012, 191 700 км",775 000 ₽,2025-05-12 19:57:46.383073
30,"Hyundai Solaris 1.6 AT, 2018, 154 000 км",1 130 000 ₽,2025-05-12 19:57:46.412842
31,"Hyundai Solaris 1.6 MT, 2020, 93 000 км",1 199 000 ₽,2025-05-12 19:57:46.442491
32,"Hyundai Solaris 1.4 MT, 2016, 168 000 км",800 000 ₽,2025-05-12 19:57:46.473647
33,"Hyundai Solaris 1.6 AT, 2018, 166 000 км",955 000 ₽,2025-05-12 19:57:46.503895
34,"Hyundai Solaris 1.4 AT, 2021, 79 158 км",1 250 000 ₽,2025-05-12 19:57:46.534670
35,"Hyundai Solaris 1.6 AT, 2012, 71 000 км",910 000 ₽,2025-05-12 19:57:46.564824
36,"Hyundai Solaris 1.4 AT, 2014, 208 000 км",780 000 ₽,2025-05-12 19:57:46.596609
37,"Hyundai Solaris 1.4 MT, 2013, 157 350 км",660 000 ₽,2025-05-12 19:57:46.626491
38,"Hyundai Solaris 1.6 AT, 2021, 191 899 км",1 277 000 ₽,2025-05-12 19:57:46.655911
39,"Hyundai Solaris 1.6 MT, 2014, 214 889 км",900 000 ₽,2025-05-12 19:57:46.687162
40,"Hyundai Solaris 1.6 AT, 2021, 100 000 км",1 530 000 ₽,2025-05-12 19:57:46.718779
41,"Hyundai Solaris 1.6 AT, 2012, 170 439 км",900 000 ₽,2025-05-12 19:57:46.749022
42,"Hyundai Solaris 1.4 AT, 2021, 20 825 км",1 470 000 ₽,2025-05-12 19:57:46.779410
43,"Hyundai Solaris 1.6 AT, 2019, 139 737 км",1 230 000 ₽,2025-05-12 19:57:46.808062
44,"Hyundai Solaris 1.6 AT, 2012, 129 378 км",795 000 ₽,2025-05-12 19:57:46.838381
45,"Hyundai Solaris 1.6 AT, 2014, 107 000 км",799 000 ₽,2025-05-12 19:57:46.869444
46,"Hyundai Solaris 1.6 AT, 2013, 225 000 км",850 000 ₽,2025-05-12 19:57:46.900749
47,"Hyundai Solaris 1.6 AT, 2017, 162 127 км",1 139 000 ₽,2025-05-12 19:57:46.930806
48,"Hyundai Solaris 1.6 MT, 2014, 165 000 км",833 000 ₽,2025-05-12 19:57:46.962413
49,"Hyundai Solaris 1.6 AT, 2016, 74 800 км",1 200 000 ₽,2025-05-12 19:57:46.991647
50,"Hyundai Solaris 1.4 AT, 2017, 219 000 км",1 540 000 ₽,2025-05-12 19:57:47.024385
51,"Hyundai Solaris 1.4 AT, 2015, 125 400 км",890 000 ₽,2025-05-12 19:57:47.053072
52,"Hyundai Solaris 1.6 AT, 2017, 215 000 км",850 000 ₽,2025-05-12 19:57:47.085033
